index,City,Total_Days,Poor_Days,AQIMedian,Zone
0,0,Seattle,306,14,42.0,west
1,1,San Francisco,314,22,45.0,west
2,2,Los Angeles,275,119,81.0,west
3,3,Denver,366,34,58.0,mountain
4,4,Salt Lake City,366,21,50.0,mountain
5,5,Phoenix,366,70,75.0,mountain
6,6,Chicago,366,28,56.0,central
7,7,St. Louis,366,10,52.0,central
8,8,Dallas,306,24,49.0,central
9,9,Boston,306,0,42.0,east
10,10,Washington D.C,366,3,42.0,east
11,11,Miami,275,2,44.0,east
12,0,Portland-Vancouver-Hillsboro,366,16,36.5,west
13,1,Bangor,362,0,29.0,east
